amount,payment_method,failure_code,retry_count,customer_history,recovered
3131.91,VISA,DO_NOT_HONOR,2,POSITIVE,1
14068.17,UPI,EXPIRED_CARD,4,POSITIVE,0
44142.68,WALLET,FRAUD_REVIEW,1,NEUTRAL,0
9682.41,VISA,TIMEOUT,2,NEUTRAL,1
43219.07,VISA,INSUFFICIENT_FUNDS,0,NEUTRAL,0
40069.51,VISA,EXPIRED_CARD,1,POSITIVE,0
7181.08,MASTERCARD,INVALID_CARD,3,POSITIVE,0
3954.17,WALLET,INSUFFICIENT_FUNDS,0,NEGATIVE,0
41834.17,VISA,EXPIRED_CARD,1,NEUTRAL,0
10844.62,UPI,DO_NOT_HONOR,1,NEUTRAL,1
19643.0,UPI,INVALID_CARD,3,NEGATIVE,0
49772.05,WALLET,FRAUD_REVIEW,1,POSITIVE,1
48441.73,WALLET,DO_NOT_HONOR,2,POSITIVE,1
23944.07,WALLET,FUNDS_UNAVAILABLE,0,NEGATIVE,1
9454.08,WALLET,INSUFFICIENT_FUNDS,1,NEUTRAL,1
44536.31,MASTERCARD,DO_NOT_HONOR,4,POSITIVE,1
29266.88,WALLET,NETWORK_ERROR,2,POSITIVE,1
15846.36,AMEX,TIMEOUT,1,NEGATIVE,0
22969.78,VISA,DO_NOT_HONOR,3,NEGATIVE,0
49805.6,VISA,EXPIRED_CARD,4,NEUTRAL,0
17580.64,VISA,EXPIRED_CARD,2,NEUTRAL,1
41720.5,AMEX,DO_NOT_HONOR,4,NEUTRAL,0
5358.61,MASTERCARD,INVALID_CARD,0,POSITIVE,0
7941.31,AMEX,EXPIRED_CARD,2,POSITIVE,0
42675.06,WALLET,FRAUD_REVIEW,2,POSITIVE,1
21294.07,AMEX,DO_NOT_HONOR,0,NEUTRAL,0
31928.25,AMEX,FUNDS_UNAVAILABLE,3,NEGATIVE,0
28133.16,VISA,INSUFFICIENT_FUNDS,1,NEGATIVE,1
18586.96,WALLET,FUNDS_UNAVAILABLE,3,POSITIVE,1
18359.65,VISA,NETWORK_ERROR,1,NEGATIVE,1
5319.12,WALLET,TIMEOUT,4,NEGATIVE,0
46508.07,MASTERCARD,FUNDS_UNAVAILABLE,3,POSITIVE,1
46239.47,UPI,EXPIRED_CARD,2,POSITIVE,0
5583.16,VISA,FRAUD_REVIEW,1,POSITIVE,0
23123.1,AMEX,EXPIRED_CARD,1,POSITIVE,0
20043.61,AMEX,INSUFFICIENT_FUNDS,2,NEUTRAL,0
20103.98,WALLET,NETWORK_ERROR,0,POSITIVE,0
13208.52,WALLET,INVALID_CARD,0,POSITIVE,0
17415.22,AMEX,TIMEOUT,4,NEGATIVE,0
44995.34,MASTERCARD,INVALID_CARD,0,NEGATIVE,0
26092.03,WALLET,EXPIRED_CARD,2,NEUTRAL,1
33279.04,AMEX,NETWORK_ERROR,0,NEGATIVE,0
25454.7,UPI,NETWORK_ERROR,3,NEGATIVE,0
6538.93,UPI,TIMEOUT,1,NEGATIVE,0
20422.54,VISA,INVALID_CARD,2,POSITIVE,0
29083.24,AMEX,FRAUD_REVIEW,3,NEUTRAL,0
25656.47,MASTERCARD,INSUFFICIENT_FUNDS,2,NEGATIVE,0
31039.19,VISA,EXPIRED_CARD,2,POSITIVE,0
7538.23,VISA,EXPIRED_CARD,3,NEGATIVE,0
3826.85,UPI,EXPIRED_CARD,3,NEUTRAL,0
7549.05,VISA,INSUFFICIENT_FUNDS,3,POSITIVE,1
47906.71,WALLET,FRAUD_REVIEW,0,NEGATIVE,0
42447.15,UPI,FUNDS_UNAVAILABLE,3,NEGATIVE,0
28034.48,AMEX,FRAUD_REVIEW,4,NEGATIVE,0
21451.69,WALLET,FRAUD_REVIEW,1,NEGATIVE,0
22613.47,MASTERCARD,INVALID_CARD,4,NEUTRAL,0
13874.95,VISA,INVALID_CARD,1,NEUTRAL,0
44672.74,VISA,FUNDS_UNAVAILABLE,1,POSITIVE,1
7809.7,MASTERCARD,INSUFFICIENT_FUNDS,3,NEUTRAL,0
23403.03,VISA,EXPIRED_CARD,3,NEUTRAL,0
29287.15,VISA,TIMEOUT,3,POSITIVE,0
15070.91,UPI,TIMEOUT,4,NEGATIVE,0
40033.43,MASTERCARD,FRAUD_REVIEW,1,NEUTRAL,0
1645.44,AMEX,TIMEOUT,1,NEUTRAL,0
49039.95,WALLET,DO_NOT_HONOR,3,NEGATIVE,0
1549.68,UPI,FUNDS_UNAVAILABLE,3,POSITIVE,1
19079.37,MASTERCARD,FRAUD_REVIEW,2,NEUTRAL,0
19080.49,UPI,INVALID_CARD,0,NEUTRAL,1
27063.07,AMEX,EXPIRED_CARD,0,NEGATIVE,1
1745.29,MASTERCARD,EXPIRED_CARD,0,NEGATIVE,1
6485.8,VISA,EXPIRED_CARD,3,NEGATIVE,0
18570.98,WALLET,INSUFFICIENT_FUNDS,1,NEUTRAL,1
1478.79,AMEX,TIMEOUT,3,NEGATIVE,0
29686.47,MASTERCARD,INSUFFICIENT_FUNDS,2,NEGATIVE,0
6228.54,WALLET,DO_NOT_HONOR,2,NEGATIVE,0
18654.43,WALLET,NETWORK_ERROR,0,NEUTRAL,0
5455.84,AMEX,FRAUD_REVIEW,1,NEUTRAL,0
26182.99,AMEX,FRAUD_REVIEW,3,NEUTRAL,0
29705.24,AMEX,EXPIRED_CARD,0,NEUTRAL,0
12344.4,UPI,TIMEOUT,2,POSITIVE,1
16385.71,UPI,EXPIRED_CARD,2,NEUTRAL,0
44039.93,AMEX,DO_NOT_HONOR,4,POSITIVE,1
36059.72,UPI,EXPIRED_CARD,3,NEGATIVE,0
22519.09,VISA,INSUFFICIENT_FUNDS,2,POSITIVE,1
12316.6,WALLET,NETWORK_ERROR,3,NEGATIVE,0
21390.09,WALLET,NETWORK_ERROR,2,NEGATIVE,0
15469.82,MASTERCARD,INSUFFICIENT_FUNDS,1,NEUTRAL,1
26886.03,MASTERCARD,EXPIRED_CARD,1,NEGATIVE,0
36284.33,WALLET,INVALID_CARD,0,POSITIVE,1
18171.88,AMEX,DO_NOT_HONOR,4,POSITIVE,1
48719.89,WALLET,INVALID_CARD,1,NEGATIVE,0
24645.76,VISA,INVALID_CARD,3,NEUTRAL,0
9381.31,VISA,INVALID_CARD,3,POSITIVE,0
20155.23,VISA,DO_NOT_HONOR,1,POSITIVE,1
47466.46,VISA,EXPIRED_CARD,0,NEGATIVE,0
30394.62,WALLET,EXPIRED_CARD,4,NEUTRAL,0
22247.51,WALLET,TIMEOUT,2,NEGATIVE,0
30559.62,VISA,EXPIRED_CARD,1,NEUTRAL,0
8021.44,MASTERCARD,INSUFFICIENT_FUNDS,1,POSITIVE,1
34530.68,UPI,INVALID_CARD,0,POSITIVE,1
14279.37,UPI,INSUFFICIENT_FUNDS,1,NEUTRAL,0
31327.89,MASTERCARD,TIMEOUT,0,NEGATIVE,1
7619.67,AMEX,FUNDS_UNAVAILABLE,0,POSITIVE,1
15519.07,WALLET,INVALID_CARD,3,POSITIVE,0
15343.74,UPI,INVALID_CARD,4,NEGATIVE,0
4206.0,VISA,TIMEOUT,2,NEGATIVE,1
4748.08,WALLET,DO_NOT_HONOR,2,NEGATIVE,1
37862.19,UPI,FRAUD_REVIEW,2,POSITIVE,0
21907.07,UPI,INSUFFICIENT_FUNDS,3,NEUTRAL,0
16188.7,VISA,FUNDS_UNAVAILABLE,2,NEUTRAL,0
14553.25,UPI,DO_NOT_HONOR,3,POSITIVE,1
16299.03,UPI,DO_NOT_HONOR,4,NEUTRAL,0
9541.61,AMEX,FRAUD_REVIEW,3,POSITIVE,0
27551.14,AMEX,FRAUD_REVIEW,3,POSITIVE,1
31575.11,MASTERCARD,FUNDS_UNAVAILABLE,2,NEGATIVE,1
20517.94,MASTERCARD,INSUFFICIENT_FUNDS,3,POSITIVE,0
7867.76,AMEX,INVALID_CARD,3,NEUTRAL,0
12337.8,WALLET,FUNDS_UNAVAILABLE,3,POSITIVE,0
25510.4,MASTERCARD,INSUFFICIENT_FUNDS,2,NEUTRAL,1
39428.33,AMEX,DO_NOT_HONOR,2,NEGATIVE,1
29429.5,UPI,FUNDS_UNAVAILABLE,3,NEGATIVE,0
16755.51,WALLET,TIMEOUT,3,NEUTRAL,0
49042.58,MASTERCARD,TIMEOUT,1,NEUTRAL,1
37286.32,UPI,TIMEOUT,1,NEUTRAL,0
6487.06,WALLET,NETWORK_ERROR,0,NEUTRAL,1
45540.0,VISA,FUNDS_UNAVAILABLE,3,NEGATIVE,0
3926.45,AMEX,NETWORK_ERROR,4,NEGATIVE,0
4199.7,AMEX,TIMEOUT,2,NEGATIVE,0
38018.21,WALLET,DO_NOT_HONOR,4,POSITIVE,1
34283.1,AMEX,EXPIRED_CARD,0,NEUTRAL,0
38066.41,VISA,FRAUD_REVIEW,1,NEGATIVE,0
1641.57,AMEX,DO_NOT_HONOR,2,NEUTRAL,1
7449.38,WALLET,TIMEOUT,4,NEGATIVE,0
8665.19,VISA,TIMEOUT,4,NEGATIVE,0
45658.88,MASTERCARD,EXPIRED_CARD,3,NEGATIVE,0
12915.27,VISA,FRAUD_REVIEW,2,NEGATIVE,0
3878.32,AMEX,INVALID_CARD,3,NEGATIVE,0
42296.14,MASTERCARD,TIMEOUT,3,POSITIVE,1
28681.75,WALLET,INVALID_CARD,2,POSITIVE,0
32979.84,AMEX,DO_NOT_HONOR,4,NEGATIVE,0
48685.42,WALLET,FRAUD_REVIEW,2,POSITIVE,0
17745.58,MASTERCARD,INVALID_CARD,1,NEGATIVE,1
31447.41,VISA,INVALID_CARD,3,POSITIVE,0
36671.52,VISA,INVALID_CARD,2,NEGATIVE,0
10199.58,WALLET,NETWORK_ERROR,4,NEGATIVE,0
41557.54,AMEX,FRAUD_REVIEW,2,NEGATIVE,0
40250.78,UPI,INSUFFICIENT_FUNDS,1,POSITIVE,0
36265.99,UPI,NETWORK_ERROR,0,NEUTRAL,1
26921.3,UPI,NETWORK_ERROR,2,NEGATIVE,0
31999.75,AMEX,INSUFFICIENT_FUNDS,1,NEUTRAL,1
44234.9,WALLET,NETWORK_ERROR,4,POSITIVE,0
31843.12,UPI,INVALID_CARD,3,POSITIVE,1
47323.82,AMEX,FRAUD_REVIEW,0,POSITIVE,1
26969.82,UPI,FRAUD_REVIEW,2,NEGATIVE,0
34884.9,WALLET,TIMEOUT,4,NEGATIVE,0
44293.61,VISA,FRAUD_REVIEW,4,NEUTRAL,0
14131.06,AMEX,EXPIRED_CARD,3,NEUTRAL,0
42801.42,VISA,NETWORK_ERROR,4,NEGATIVE,0
20027.35,MASTERCARD,INSUFFICIENT_FUNDS,3,POSITIVE,0
32156.88,WALLET,DO_NOT_HONOR,0,NEUTRAL,1
6471.01,WALLET,EXPIRED_CARD,0,NEGATIVE,0
10954.38,MASTERCARD,NETWORK_ERROR,1,NEGATIVE,1
42948.63,MASTERCARD,FUNDS_UNAVAILABLE,4,NEUTRAL,0
5674.33,VISA,FUNDS_UNAVAILABLE,0,NEUTRAL,0
12048.99,AMEX,DO_NOT_HONOR,1,NEUTRAL,1
37137.56,WALLET,INSUFFICIENT_FUNDS,0,NEUTRAL,1
18229.54,WALLET,INSUFFICIENT_FUNDS,3,NEGATIVE,0
30832.32,WALLET,INVALID_CARD,3,NEGATIVE,0
3229.11,UPI,TIMEOUT,3,NEGATIVE,0
35677.59,UPI,INSUFFICIENT_FUNDS,0,NEUTRAL,1
3470.98,AMEX,NETWORK_ERROR,3,NEGATIVE,0
22795.03,WALLET,TIMEOUT,0,NEGATIVE,1
32804.71,WALLET,EXPIRED_CARD,3,NEUTRAL,0
20807.92,UPI,TIMEOUT,3,NEGATIVE,0
21452.85,AMEX,NETWORK_ERROR,1,NEGATIVE,0
3543.24,VISA,INSUFFICIENT_FUNDS,3,POSITIVE,0
18757.81,MASTERCARD,DO_NOT_HONOR,4,NEGATIVE,0
33566.66,UPI,NETWORK_ERROR,3,NEGATIVE,1
14523.94,AMEX,NETWORK_ERROR,0,NEGATIVE,0
7905.56,UPI,EXPIRED_CARD,0,NEUTRAL,0
18504.54,AMEX,EXPIRED_CARD,3,NEGATIVE,0
40957.66,WALLET,DO_NOT_HONOR,4,NEGATIVE,0
13518.9,MASTERCARD,INVALID_CARD,2,NEUTRAL,0
9234.0,MASTERCARD,TIMEOUT,0,POSITIVE,1
48596.15,VISA,EXPIRED_CARD,3,NEUTRAL,0
8038.98,AMEX,NETWORK_ERROR,4,NEGATIVE,1
2819.92,MASTERCARD,DO_NOT_HONOR,0,NEUTRAL,1
21315.94,WALLET,FRAUD_REVIEW,3,NEUTRAL,0
25714.85,AMEX,TIMEOUT,0,NEUTRAL,0
29738.09,WALLET,INVALID_CARD,0,POSITIVE,1
30046.38,VISA,EXPIRED_CARD,2,POSITIVE,0
38255.21,AMEX,NETWORK_ERROR,0,POSITIVE,1
21646.62,MASTERCARD,TIMEOUT,4,NEGATIVE,0
28024.43,AMEX,INSUFFICIENT_FUNDS,3,NEGATIVE,1
1133.33,VISA,NETWORK_ERROR,4,NEUTRAL,0
35533.05,UPI,INVALID_CARD,0,NEUTRAL,1
16373.46,WALLET,FRAUD_REVIEW,2,POSITIVE,0
5471.98,UPI,TIMEOUT,4,POSITIVE,1
15651.67,AMEX,EXPIRED_CARD,2,POSITIVE,1
31734.59,WALLET,EXPIRED_CARD,2,NEUTRAL,0
40983.64,MASTERCARD,EXPIRED_CARD,0,POSITIVE,1
8840.25,MASTERCARD,INSUFFICIENT_FUNDS,1,NEGATIVE,0
37771.4,WALLET,FRAUD_REVIEW,4,NEGATIVE,0
31301.18,AMEX,FUNDS_UNAVAILABLE,3,POSITIVE,0
31642.98,AMEX,DO_NOT_HONOR,2,NEGATIVE,1
23194.78,VISA,DO_NOT_HONOR,2,NEUTRAL,1
43239.65,VISA,TIMEOUT,3,NEGATIVE,0
39632.53,VISA,FRAUD_REVIEW,4,NEGATIVE,0
30329.29,WALLET,FUNDS_UNAVAILABLE,0,NEUTRAL,1
44976.52,AMEX,INSUFFICIENT_FUNDS,4,NEGATIVE,0
12537.64,UPI,FRAUD_REVIEW,4,NEGATIVE,0
18322.12,AMEX,TIMEOUT,3,NEUTRAL,0
2807.8,AMEX,INSUFFICIENT_FUNDS,2,POSITIVE,1
19450.9,AMEX,FUNDS_UNAVAILABLE,2,POSITIVE,1
7243.13,AMEX,INVALID_CARD,3,POSITIVE,0
46912.51,AMEX,TIMEOUT,2,POSITIVE,1
41482.16,WALLET,INSUFFICIENT_FUNDS,3,NEGATIVE,0
18257.36,MASTERCARD,EXPIRED_CARD,2,NEUTRAL,1
49998.84,MASTERCARD,INSUFFICIENT_FUNDS,2,POSITIVE,1
27080.58,WALLET,DO_NOT_HONOR,2,NEGATIVE,1
18960.65,MASTERCARD,FUNDS_UNAVAILABLE,4,POSITIVE,0
2375.88,AMEX,EXPIRED_CARD,3,NEGATIVE,0
37477.12,UPI,EXPIRED_CARD,4,POSITIVE,0
40469.47,UPI,EXPIRED_CARD,2,NEGATIVE,0
49225.1,UPI,INVALID_CARD,3,NEGATIVE,0
48320.15,MASTERCARD,FUNDS_UNAVAILABLE,2,POSITIVE,1
43731.02,WALLET,INSUFFICIENT_FUNDS,4,POSITIVE,1
38203.22,AMEX,FRAUD_REVIEW,4,POSITIVE,0
4767.34,MASTERCARD,FRAUD_REVIEW,2,POSITIVE,0
19943.41,AMEX,EXPIRED_CARD,3,POSITIVE,0
1603.74,VISA,NETWORK_ERROR,1,POSITIVE,1
45886.33,UPI,FUNDS_UNAVAILABLE,3,NEUTRAL,0
45311.7,VISA,INVALID_CARD,1,POSITIVE,0
36416.29,WALLET,TIMEOUT,0,NEUTRAL,1
6268.05,MASTERCARD,TIMEOUT,4,NEUTRAL,1
41867.05,UPI,DO_NOT_HONOR,4,NEGATIVE,0
7350.13,UPI,DO_NOT_HONOR,4,NEUTRAL,1
20945.07,VISA,NETWORK_ERROR,0,NEGATIVE,0
39363.33,WALLET,DO_NOT_HONOR,3,NEUTRAL,1
19466.69,AMEX,INVALID_CARD,0,NEUTRAL,0
17371.16,VISA,NETWORK_ERROR,1,POSITIVE,1
17059.65,MASTERCARD,FRAUD_REVIEW,3,NEGATIVE,0
6915.66,UPI,DO_NOT_HONOR,2,POSITIVE,1
10133.6,VISA,NETWORK_ERROR,2,NEGATIVE,0
40807.22,UPI,INVALID_CARD,0,NEGATIVE,0
17977.31,VISA,NETWORK_ERROR,2,POSITIVE,0
21960.18,UPI,FRAUD_REVIEW,3,NEUTRAL,0
24910.92,UPI,NETWORK_ERROR,4,NEUTRAL,0
36408.65,VISA,TIMEOUT,4,POSITIVE,0
16196.33,VISA,NETWORK_ERROR,2,NEUTRAL,1
35939.61,MASTERCARD,FRAUD_REVIEW,2,NEUTRAL,1
43527.85,AMEX,TIMEOUT,2,NEGATIVE,0
47405.64,VISA,TIMEOUT,2,NEGATIVE,0
34034.65,VISA,FUNDS_UNAVAILABLE,4,NEGATIVE,0
1932.99,VISA,EXPIRED_CARD,2,NEUTRAL,0
28448.78,WALLET,FUNDS_UNAVAILABLE,3,NEUTRAL,0
38201.61,WALLET,FUNDS_UNAVAILABLE,4,NEUTRAL,0
32548.12,MASTERCARD,INSUFFICIENT_FUNDS,0,NEGATIVE,1
25983.71,WALLET,INSUFFICIENT_FUNDS,2,NEUTRAL,0
10885.61,WALLET,INVALID_CARD,3,POSITIVE,1
42670.75,UPI,FUNDS_UNAVAILABLE,3,POSITIVE,0
48384.55,AMEX,NETWORK_ERROR,0,NEGATIVE,0
44588.32,MASTERCARD,FUNDS_UNAVAILABLE,2,NEGATIVE,1
49259.6,MASTERCARD,EXPIRED_CARD,3,POSITIVE,0
28699.41,UPI,FUNDS_UNAVAILABLE,4,POSITIVE,1
20028.37,UPI,TIMEOUT,3,NEGATIVE,0
48624.51,VISA,FRAUD_REVIEW,3,NEGATIVE,0
6591.06,WALLET,FUNDS_UNAVAILABLE,1,NEUTRAL,1
43436.94,VISA,FUNDS_UNAVAILABLE,2,POSITIVE,1
46749.94,MASTERCARD,NETWORK_ERROR,4,NEUTRAL,0
12680.14,WALLET,INVALID_CARD,1,NEGATIVE,0
26767.21,WALLET,FUNDS_UNAVAILABLE,4,NEGATIVE,0
33004.9,WALLET,NETWORK_ERROR,4,POSITIVE,0
1613.0,VISA,INVALID_CARD,1,NEGATIVE,0
32021.76,UPI,INVALID_CARD,2,NEUTRAL,0
40406.0,UPI,INVALID_CARD,3,POSITIVE,0
8072.41,UPI,FRAUD_REVIEW,3,POSITIVE,0
7354.7,AMEX,NETWORK_ERROR,3,POSITIVE,0
25846.01,VISA,NETWORK_ERROR,1,NEUTRAL,1
22589.88,MASTERCARD,INSUFFICIENT_FUNDS,0,NEUTRAL,0
43235.36,UPI,EXPIRED_CARD,1,NEUTRAL,0
36112.2,MASTERCARD,FUNDS_UNAVAILABLE,3,NEGATIVE,0
43977.97,UPI,DO_NOT_HONOR,0,NEUTRAL,1
48340.99,MASTERCARD,NETWORK_ERROR,0,POSITIVE,1
29956.43,UPI,INVALID_CARD,4,POSITIVE,0
21660.2,AMEX,NETWORK_ERROR,3,NEUTRAL,1
2747.65,WALLET,EXPIRED_CARD,2,NEGATIVE,0
19440.17,UPI,INVALID_CARD,4,NEGATIVE,0
6607.44,VISA,TIMEOUT,2,NEUTRAL,0
18407.2,MASTERCARD,EXPIRED_CARD,4,NEGATIVE,0
2204.69,VISA,FUNDS_UNAVAILABLE,2,NEUTRAL,0
7617.25,WALLET,FUNDS_UNAVAILABLE,2,NEGATIVE,0
19769.14,WALLET,INVALID_CARD,4,NEUTRAL,0
25583.76,UPI,INVALID_CARD,3,POSITIVE,0
33755.56,UPI,INVALID_CARD,0,NEGATIVE,0
48360.12,WALLET,EXPIRED_CARD,0,NEGATIVE,0
26306.77,WALLET,TIMEOUT,1,NEGATIVE,1
28714.0,VISA,EXPIRED_CARD,0,NEUTRAL,1
7741.28,MASTERCARD,TIMEOUT,4,NEGATIVE,0
43666.32,VISA,FUNDS_UNAVAILABLE,4,POSITIVE,0
49906.52,UPI,TIMEOUT,2,POSITIVE,1
26749.73,WALLET,NETWORK_ERROR,2,NEGATIVE,0
47875.4,AMEX,INVALID_CARD,1,NEUTRAL,0
35304.07,UPI,NETWORK_ERROR,3,NEUTRAL,0
46737.37,AMEX,INVALID_CARD,0,NEGATIVE,0
19108.77,UPI,NETWORK_ERROR,1,NEUTRAL,1
47774.62,VISA,NETWORK_ERROR,3,NEGATIVE,0
24058.15,MASTERCARD,INVALID_CARD,4,NEGATIVE,0
5639.48,WALLET,EXPIRED_CARD,1,POSITIVE,0
26645.87,MASTERCARD,DO_NOT_HONOR,0,NEUTRAL,1
23725.71,MASTERCARD,DO_NOT_HONOR,4,POSITIVE,1
46764.6,UPI,FRAUD_REVIEW,1,NEUTRAL,0
32365.72,VISA,EXPIRED_CARD,4,NEGATIVE,0
46846.14,MASTERCARD,TIMEOUT,1,POSITIVE,0
19970.33,UPI,FUNDS_UNAVAILABLE,2,POSITIVE,1
28484.5,VISA,NETWORK_ERROR,2,NEUTRAL,0
27256.36,UPI,FUNDS_UNAVAILABLE,4,NEUTRAL,0
40478.93,AMEX,FUNDS_UNAVAILABLE,3,NEGATIVE,0
9472.71,AMEX,INVALID_CARD,4,NEGATIVE,0
8939.65,UPI,TIMEOUT,4,NEUTRAL,1
33528.94,MASTERCARD,FUNDS_UNAVAILABLE,3,NEUTRAL,0
540.14,UPI,EXPIRED_CARD,3,NEUTRAL,0
15236.9,WALLET,DO_NOT_HONOR,2,NEGATIVE,1
11967.87,VISA,FRAUD_REVIEW,2,POSITIVE,0
25225.52,AMEX,INSUFFICIENT_FUNDS,2,NEUTRAL,0
11112.6,MASTERCARD,FRAUD_REVIEW,1,NEUTRAL,0
30365.8,UPI,FRAUD_REVIEW,4,NEGATIVE,0
38140.61,WALLET,INSUFFICIENT_FUNDS,4,NEUTRAL,0
18216.89,WALLET,INSUFFICIENT_FUNDS,0,NEGATIVE,0
10267.41,WALLET,FUNDS_UNAVAILABLE,1,NEUTRAL,0
22203.66,MASTERCARD,FRAUD_REVIEW,0,NEGATIVE,0
2970.66,MASTERCARD,TIMEOUT,3,NEGATIVE,1
23226.44,AMEX,DO_NOT_HONOR,3,NEUTRAL,0
37341.06,WALLET,INSUFFICIENT_FUNDS,0,NEUTRAL,1
3375.24,VISA,INSUFFICIENT_FUNDS,3,POSITIVE,1
9163.07,MASTERCARD,TIMEOUT,2,NEUTRAL,1
45872.33,UPI,TIMEOUT,0,NEGATIVE,0
43752.78,MASTERCARD,NETWORK_ERROR,0,POSITIVE,0
19774.32,MASTERCARD,EXPIRED_CARD,0,POSITIVE,0
23257.59,WALLET,TIMEOUT,4,NEUTRAL,0
12526.1,AMEX,FUNDS_UNAVAILABLE,2,POSITIVE,0
36306.19,VISA,DO_NOT_HONOR,3,NEGATIVE,0
44211.08,VISA,EXPIRED_CARD,1,POSITIVE,1
1872.1,WALLET,DO_NOT_HONOR,1,NEGATIVE,1
22060.35,WALLET,EXPIRED_CARD,0,POSITIVE,1
14605.32,WALLET,NETWORK_ERROR,4,NEGATIVE,0
40955.45,MASTERCARD,INVALID_CARD,1,NEGATIVE,0
20795.3,AMEX,DO_NOT_HONOR,4,NEGATIVE,0
45596.57,UPI,FRAUD_REVIEW,0,NEUTRAL,0
33632.86,WALLET,NETWORK_ERROR,3,NEUTRAL,1
18947.72,WALLET,FRAUD_REVIEW,1,POSITIVE,1
35437.32,UPI,DO_NOT_HONOR,4,NEUTRAL,0
27952.88,MASTERCARD,TIMEOUT,1,NEUTRAL,1
32405.95,UPI,NETWORK_ERROR,0,NEGATIVE,0
9685.98,AMEX,TIMEOUT,4,NEGATIVE,1
3824.66,WALLET,EXPIRED_CARD,3,POSITIVE,0
16781.62,VISA,EXPIRED_CARD,1,NEGATIVE,1
49978.69,UPI,EXPIRED_CARD,4,NEGATIVE,0
45773.3,WALLET,NETWORK_ERROR,2,NEUTRAL,1
32506.32,AMEX,INVALID_CARD,2,NEGATIVE,0
23407.0,UPI,NETWORK_ERROR,1,NEUTRAL,1
2476.63,MASTERCARD,FUNDS_UNAVAILABLE,0,NEUTRAL,1
29284.79,UPI,INVALID_CARD,1,POSITIVE,1
19116.02,MASTERCARD,FRAUD_REVIEW,4,NEGATIVE,0
17010.7,UPI,FRAUD_REVIEW,3,POSITIVE,0
17738.37,MASTERCARD,FRAUD_REVIEW,1,NEGATIVE,0
47870.4,WALLET,DO_NOT_HONOR,0,NEGATIVE,1
517.91,MASTERCARD,EXPIRED_CARD,0,NEGATIVE,1
11092.24,UPI,NETWORK_ERROR,0,NEGATIVE,0
46708.41,UPI,FRAUD_REVIEW,0,POSITIVE,0
20684.66,VISA,INVALID_CARD,4,NEUTRAL,1
40695.23,UPI,FUNDS_UNAVAILABLE,0,POSITIVE,1
12200.25,WALLET,INVALID_CARD,2,NEUTRAL,0
4135.16,UPI,FRAUD_REVIEW,4,POSITIVE,0
11447.69,VISA,DO_NOT_HONOR,0,NEUTRAL,1
27724.53,VISA,DO_NOT_HONOR,1,POSITIVE,1
21808.7,AMEX,INSUFFICIENT_FUNDS,4,POSITIVE,1
45083.39,WALLET,FRAUD_REVIEW,2,POSITIVE,0
34284.55,AMEX,DO_NOT_HONOR,1,NEUTRAL,1
10516.47,MASTERCARD,TIMEOUT,0,NEUTRAL,1
12175.52,UPI,NETWORK_ERROR,3,NEGATIVE,0
49426.2,VISA,NETWORK_ERROR,0,POSITIVE,1
41966.0,AMEX,TIMEOUT,2,POSITIVE,1
39220.7,UPI,FRAUD_REVIEW,1,NEUTRAL,0
18896.26,MASTERCARD,TIMEOUT,0,NEGATIVE,1
12473.2,VISA,INSUFFICIENT_FUNDS,2,POSITIVE,1
